username,content,timestamp,replies,retweets,likes,url
@DMPR_ZA,"We are live from the Mining Industry Engagement.
Deputy Minister Phumzile Mgcina has arrived at today’s discussions on Illegal Mining, Critical Minerals & Transformation.

#DMPR | #MiningIndustryEngagement  | #KeyIssues |#IllegalMining | #Transformation | #CriticalMinerals",2025-08-29T07:23:12.000Z,0,0,0,https://x.com/DMPR_ZA/status/1961328765247598683
@CapricornFMNews,"The Democratic Alliance in Limpopo has called for decisive action to be taken against the organised and armed #illegalmining in the Kuschke, Ysterberg, and  Eerste Goud areas between Mokopane and Polokwane.

According to the party, farmers have reported that they fear for their",2025-09-23T05:52:03.000Z,0,0,0,https://x.com/CapricornFMNews/status/1970365524761559403
@Adom1063fm,"It’s ironic how the NPP laments more than the bereaved, when in truth, the NDC has made greater strides in addressing the galamsey menace than the NPP achieved in eight full years - Mustapha Gbande, Deputy General Secretary (NDC)

#AdomFM #DwasoNsem #Galamsey #IllegalMining #NDC",2025-10-07T10:03:02.000Z,0,0,0,https://x.com/Adom1063fm/status/1975502116954513816
@tv3_ghana,"Galamsey fight has become increasingly difficult; drone technology can expose hidden miners – Inusah Fuseini 
3news.com/news/galamsey-
… #Galamsey #IllegalMining #MiningRegulations",2025-10-17T18:13:15.000Z,0,0,0,https://x.com/tv3_ghana/status/1979249363768742075
@IndiaNewsUP_UK,"हापुड़: सबली के पास अवैध मिट्टी खनन का पर्दाफाश!
 रात के अंधेरे में डंपरों से किया जा रहा अवैध खनन शहर में देर रात दौड़ रहे मिट्टी से भरे डंपर
 स्थानीय लोगों में खनन माफियाओं को लेकर आक्रोश

#Hapur #IllegalMining #Breaking #UttarPradesh
@hapurpolice
 @Uppolice",2025-10-14T03:48:02.000Z,0,0,0,https://x.com/IndiaNewsUP_UK/status/1977944460903284987
@tv3_ghana,"Galamsey: National House of Chiefs must start calling out their members who are complicit – Ken Ashigbey 
3news.com/news/galamsey-
… #Galamsey #IllegalMining #GhanaCoalition",2025-10-11T10:53:34.000Z,0,0,0,https://x.com/tv3_ghana/status/1976964384548438218
@Bizcommunity,"Gemfields'Montepuez #ruby mine invaded by illegal miners 
bizcommunity.com/article/gemfie
… via 
@Biz_Energy_
 #illegalmining #Mozambique #Gemfields",2025-10-16T12:05:03.000Z,0,0,0,https://x.com/Bizcommunity/status/1978794316349722656
@bstvlive,"हापुड़ : अवैध मिट्टी खनन पर प्रशासन का छापा

 एसडीएम ने मिट्टी से भरे तीन डंफर पकड़े
 थाना बाबूगढ़ के मतनौरा के जंगल का मामला

#Hapur #IllegalMining #Raid #SDMAction #CrimeNews 
@hapurpolice
 @DmHapur",2025-09-16T04:04:32.000Z,0,0,0,https://x.com/bstvlive/status/1967801752352330070
@colourfulradio,"Ghana is tightening visa rules for Chinese nationals amid a surge in illegal gold mining. Authorities say the move aims to protect communities and the environment from the destructive trade.

#Ghana #GoldMining #IllegalMining #Africa",2025-09-20T20:06:23.000Z,0,0,0,https://x.com/colourfulradio/status/1969493360638402908
@BCCLofficial,Say NO to illegal coal mining! Report it instantly with the 'Khanan Prahari' app. Now available on both Google Play and the App Store. Every report helps combat coal theft. Download it today and join the fight. #IllegalMining #KhananPrahari #BCCL,2025-09-03T11:43:51.000Z,0,0,0,https://x.com/BCCLofficial/status/1963206299660787730
